А,1298
Б,1779
В,553
Г,45
Д,808
Е,103
Ж,412
З,674
И,368
Й,4
К,2128
Л,743
М,698
Н,500
О,844
П,1114
Р,612
С,227
Т,742
У,287
Ф,203
Х,299
Ц,245
Ч,733
Ш,291
Щ,162
Ъ,0
Ы,0
Ь,0
Э,238
Ю,148
Я,225
